sheet,participant,condition,n_samples,fs_hz,logged_duration_s,window_method,turn_time_s,turn_peak_gyro_mag,onset_s,offset_s,detected_duration_s,duration_diff_s,window_clipped,bout_onset_s,bout_offset_s,bout_duration_s,bout_duration_diff_s,n_bouts,trial_notes
SWEAT_015DTG2,SWEAT-015,DTG2,2158,100.0,15.0,turn_anchored,8.78,317.33088700223766,1.28,16.28,15.0,0.0,False,2.05,17.87,15.82,0.8200000000000003,2,
SWEAT_015DTG3,SWEAT-015,DTG3,1871,100.0,15.0,turn_anchored,8.25,266.5063095200707,0.75,15.75,15.0,0.0,False,1.2,16.5,15.3,0.3000000000000007,1,
SWEAT_016DTG TRIAL,SWEAT-016,DTG_TRIAL,5113,100.0,17.0,turn_anchored,8.93,276.1947815658469,0.43,17.43,17.0,0.0,False,0.0,24.73,24.73,7.73,5,
SWEAT_016DTG1,SWEAT-016,DTG1,2698,100.0,16.0,turn_anchored,9.03,286.70359798280987,1.03,17.03,16.0,0.0,False,1.78,17.96,16.18,0.17999999999999972,3,
SWEAT_016DTG2,SWEAT-016,DTG2,1390,100.0,15.0,turn_anchored,6.64,305.28516407426116,0.0,13.89,13.89,-1.1099999999999994,True,0.0,13.89,13.89,-1.1099999999999994,1,
SWEAT_016DTG3,SWEAT-016,DTG3,1863,100.0,14.0,turn_anchored,8.73,252.33011044672665,1.73,15.73,14.0,0.0,False,1.69,16.97,15.28,1.2799999999999994,1,
SWEAT_017DTG TRIAL,SWEAT-017,DTG_TRIAL,1896,100.0,20.0,turn_anchored,9.13,251.46068780961312,0.0,18.95,18.95,-1.0500000000000007,True,2.38,18.81,16.43,-3.5700000000000003,2,
SWEAT_017DTG1,SWEAT-017,DTG1,1825,100.0,18.0,turn_anchored,8.42,219.94811838886943,0.0,17.42,17.42,-0.5799999999999983,True,1.19,18.24,17.05,-0.9499999999999993,1,
SWEAT_017DTG2,SWEAT-017,DTG2,1552,100.0,16.0,turn_anchored,7.25,233.52542627107516,0.0,15.25,15.25,-0.75,True,0.36,15.51,15.15,-0.8499999999999996,1,
SWEAT_017DTG3,SWEAT-017,DTG3,3348,100.0,17.0,turn_anchored,13.07,231.5980977067111,4.57,21.57,17.0,0.0,False,4.86,25.68,20.82,3.8200000000000003,3,
SWEAT_018DTG TRIAL,SWEAT-018,DTG_TRIAL,3993,100.0,16.0,turn_anchored,12.95,254.82529379165135,4.95,20.95,16.0,0.0,False,3.59,24.87,21.28,5.280000000000001,5,MCTSIB Test 3 at 17:12 - recorded as 017 in error)
